"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"41",914,"3rd Quarter",135,1213,52,20,"Shot","Score","",NA,"mars",21.2132034355964,1.42889927219073,81.869897645844,15,2,1,3,3.2,180.020821624941
"42",935,"4th Quarter",139,16,50,30,"Shot","Miss","",NA,"mars",23.0217288664427,0.970746113393143,55.6196552761551,13,0,0,5,5,84.196406121889
"43",937,"4th Quarter",141,25,28,18,"Shot","Score","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,1,2,1,9,9.2,11.4017542509914
"44",963,"4th Quarter",144,85,10,16,"Shot","Miss","",NA,"mars",21.0237960416286,1.52321322351791,87.2736890060937,19,0,0,10,10,203.760580400815
"45",973,"4th Quarter",148,135,38,37,"Shot","Miss","",NA,"mars",21.1896201004171,0.336674819386727,19.2900462191887,6,0,0,11,11,94.1334185863399
"46",984,"4th Quarter",151,161,32,29,"Shot","Score","",NA,"mars",12.0415945787923,0.0831412318884412,4.76364169072618,7,2,1,10,10.2,109.802641730112
"47",1004,"4th Quarter",154,224,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,18,0,0,9,9,202.219546020654
"48",1017,"4th Quarter",156,298,39,36,"Shot","Miss","",NA,"mars",20.6155281280883,0.39852244566642,22.8336541779175,14,0,0,11,11,195.142625141666
"49",1030,"4th Quarter",158,343,35,19,"Shot","Score","",NA,"mars",4.47213595499958,1.10714871779409,63.434948822922,14,2,1,10,10.2,124.235243609872
"50",1060,"4th Quarter",162,459,50,24,"Shot","Miss","",NA,"mars",20.2484567313166,1.21780593896799,69.7751405688319,16,0,0,3,3,127.490303817124
"51",1083,"4th Quarter",164,494,35,16,"Shot","Miss","",NA,"mars",4.12310562561766,-1.32581766366803,-75.9637565320735,17,0,0,10,10,144.969836432015
"52",1097,"4th Quarter",166,522,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,9,0,0,9,9,114.491878616579
"53",1110,"4th Quarter",169,609,30,39,"Shot","Score","",NA,"mars",22.0227155455452,-0.045423279421577,-2.60256220249981,9,2,1,11,11.2,132.54154077267
"54",1123,"4th Quarter",171,654,33,17,"Shot","Miss","",NA,"mars",2,1.5707963267949,90,16,0,0,9,9,118.844443967278
"55",1146,"4th Quarter",173,671,24,38,"Shot","Miss","",NA,"mars",22.1359436211787,-0.321750554396642,-18.434948822922,12,0,0,11,11,104.89314702376
"56",1180,"4th Quarter",176,857,10,20,"Shot","Miss","",NA,"mars",21.2132034355964,-1.42889927219073,-81.869897645844,16,0,0,4,4,149.260270333505
"57",1193,"4th Quarter",180,933,29,20,"Shot","Score","",NA,"mars",3.60555127546399,-0.588002603547568,-33.6900675259798,3,2,1,9,9.2,43.1629741745976
"58",1221,"4th Quarter",184,1148,38,25,"Shot","Miss","",NA,"mars",10.6301458127346,0.718829999621625,41.1859251657096,23,0,0,10,10,207.190116030447
"59",14,"1st Quarter",2,35,15,24,"Shot","Miss","",NA,"mars",17.464249196573,-1.15838588519751,-66.3706222693432,17,0,0,6,6,122.022932829603
"60",31,"1st Quarter",5,75,31,20,"Shot","Foul","",NA,"mars",3,0,0,13,1,0,9,9.1,141.458368624242
"61",46,"1st Quarter",7,128,30,30,"Shot","Score","",NA,"mars",13.0384048104053,-0.076771891269778,-4.39870535499553,10,2,1,10,10.2,127.26206824755
"62",72,"1st Quarter",9,186,34,18,"Shot","Miss","",NA,"mars",3.16227766016838,1.24904577239825,71.565051177078,19,0,0,9,9,159.395436725157
"63",85,"1st Quarter",12,206,34,18,"Shot","Foul","",NA,"mars",3.16227766016838,1.24904577239825,71.565051177078,8,1,0,9,9.1,97.3563029148437
"64",91,"1st Quarter",15,267,31,30,"Shot","Miss","",NA,"mars",13,0,0,4,0,0,10,10,60.0958391838975
"65",118,"1st Quarter",17,307,34,19,"Shot","Miss","",NA,"mars",3.60555127546399,0.982793723247329,56.3099324740202,22,0,0,9,9,208.138740326295
"66",120,"1st Quarter",19,320,49,18,"Shot","Score","",NA,"mars",18.0277563773199,1.51529782154918,86.8201698801358,1,2,1,3,3.2,10.816653826392
"67",136,"1st Quarter",22,397,38,38,"Shot","Miss","",NA,"mars",22.1359436211787,0.321750554396642,18.434948822922,16,0,0,11,11,72.8190447111764
"68",162,"1st Quarter",26,494,27,22,"Shot","Miss","",NA,"mars",6.40312423743285,-0.674740942223553,-38.6598082540901,10,0,0,10,10,125.468064460675
"69",192,"1st Quarter",30,628,25,28,"Shot","Miss","",NA,"mars",12.5299640861417,-0.49934672168013,-28.6104596659652,15,0,0,10,10,162.614214139767
